$while(a<aanda>aornot(a=c))do{a:=a+a;a:=a-c;a:=a+c;}#

1:  | while(a<aanda>aornot(a=c))do{a:=a+a;a:=a-c;a:=a+c;}# | $ | Сдвиг |  | 
43:  | ;a:=a-c;a:=a+c;}# | $whileBdo{E | Сдвиг | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6  | 
44:  | a:=a-c;a:=a+c;}# | $whileBdo{E; | Сдвиг | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6  | 
45:  | :=a-c;a:=a+c;}# | $whileBdo{E;a | Сдвиг | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6  | 
46:  | a-c;a:=a+c;}# | $whileBdo{E;a:= | Сдвиг | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6  | 
47:  | -c;a:=a+c;}# | $whileBdo{E;a:=a | Свертка "a" по правилу 19 | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19  | 
48:  | -c;a:=a+c;}# | $whileBdo{E;a:=E | Сдвиг | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19  | 
49:  | c;a:=a+c;}# | $whileBdo{E;a:=E- | Сдвиг | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19  | 
50:  | ;a:=a+c;}# | $whileBdo{E;a:=E-c | Свертка "c" по правилу 20 | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20  | 
51:  | ;a:=a+c;}# | $whileBdo{E;a:=E-E | Свертка "E-E" по правилу 14 | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14  | 
52:  | ;a:=a+c;}# | $whileBdo{E;a:=E | Свертка "a:=E" по правилу 6 | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6  | 
53:  | ;a:=a+c;}# | $whileBdo{E;E | Свертка "E;E" по правилу 2 | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2  | 
54:  | ;a:=a+c;}# | $whileBdo{E | Сдвиг | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2  | 
55:  | a:=a+c;}# | $whileBdo{E; | Сдвиг | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2  | 
56:  | :=a+c;}# | $whileBdo{E;a | Сдвиг | 19 19 11 19 19 13 7 19 20 12 10 9 8 10 19 19 15 6 19 20 14 6 2  | 
